,state_abbreviation,county,fips,party,candidate,votes,fraction_votes,poverty_estimate_2015
0,AL,Autauga,1001.0,Democrat,Bernie Sanders,544,0.182,12.7
1,AL,Autauga,1001.0,Democrat,Hillary Clinton,2387,0.8,12.7
2,AL,Autauga,1001.0,Republican,Ben Carson,1764,0.146,12.7
3,AL,Autauga,1001.0,Republican,Donald Trump,5387,0.445,12.7
4,AL,Autauga,1001.0,Republican,John Kasich,421,0.035,12.7
5,AL,Autauga,1001.0,Republican,Marco Rubio,1785,0.148,12.7
6,AL,Autauga,1001.0,Republican,Ted Cruz,2482,0.205,12.7
7,AL,Baldwin,1003.0,Democrat,Bernie Sanders,2694,0.3289999999999999,12.9
8,AL,Baldwin,1003.0,Democrat,Hillary Clinton,5290,0.647,12.9
9,AL,Baldwin,1003.0,Republican,Ben Carson,4221,0.084,12.9
10,AL,Baldwin,1003.0,Republican,Donald Trump,23618,0.469,12.9
11,AL,Baldwin,1003.0,Republican,John Kasich,2987,0.059,12.9
12,AL,Baldwin,1003.0,Republican,Marco Rubio,9703,0.193,12.9
13,AL,Baldwin,1003.0,Republican,Ted Cruz,8571,0.17,12.9
14,AL,Barbour,1005.0,Democrat,Bernie Sanders,222,0.078,32.0
15,AL,Barbour,1005.0,Democrat,Hillary Clinton,2567,0.906,32.0
16,AL,Barbour,1005.0,Republican,Ben Carson,417,0.122,32.0
17,AL,Barbour,1005.0,Republican,Donald Trump,1710,0.501,32.0
18,AL,Barbour,1005.0,Republican,John Kasich,123,0.036,32.0
19,AL,Barbour,1005.0,Republican,Marco Rubio,498,0.146,32.0
20,AL,Barbour,1005.0,Republican,Ted Cruz,609,0.179,32.0
21,AL,Bibb,1007.0,Democrat,Bernie Sanders,246,0.1969999999999999,22.2
22,AL,Bibb,1007.0,Democrat,Hillary Clinton,942,0.755,22.2
23,AL,Bibb,1007.0,Republican,Ben Carson,393,0.099,22.2
24,AL,Bibb,1007.0,Republican,Donald Trump,1959,0.494,22.2
25,AL,Bibb,1007.0,Republican,John Kasich,84,0.021,22.2
26,AL,Bibb,1007.0,Republican,Marco Rubio,444,0.1119999999999999,22.2
27,AL,Bibb,1007.0,Republican,Ted Cruz,1011,0.255,22.2
28,AL,Blount,1009.0,Democrat,Bernie Sanders,395,0.386,14.7
29,AL,Blount,1009.0,Democrat,Hillary Clinton,564,0.551,14.7
30,AL,Blount,1009.0,Republican,Ben Carson,1523,0.1,14.7
31,AL,Blount,1009.0,Republican,Donald Trump,7390,0.487,14.7
32,AL,Blount,1009.0,Republican,John Kasich,337,0.022,14.7
33,AL,Blount,1009.0,Republican,Marco Rubio,1843,0.122,14.7
